<<<<<<< HEAD
3 3
4 3
4 4
4 3
4 4
4 5
5 5
6 5
5 5
4 5
5 5
5 4
5 5
4 5
5 5
5 6
5 7
5 6
5 7
6 7
6 8
6 7
5 7
6 7
7 7
7 6
8 6
9 6
10 6
11 6
11 7
12 7
12 8
11 8
11 7
12 7
12 6
12 7
13 7
13 8
14 8
15 8
15 9
16 9
17 9
17 10
17 9
17 10
18 10
18 11
18 12
19 12
18 12
19 12
20 12
20 13
20 12
21 12
21 13
22 13
22 12
22 13
22 14
23 14
23 15
24 15
24 16
25 16
25 17
24 17
24 16
25 16
25 17
26 17
26 18
26 19
26 20
26 21
27 21
28 21
28 22
29 22
30 22
31 21
31 22
32 21
32 22
33 22
32 22
33 21
34 21
33 21
34 21
33 21
34 21
35 21
35 22
34 22
34 21
34 22
35 21
36 21
36 20
37 20
38 20
38 21
39 21
39 22
38 21
37 21
37 22
38 21
38 22
38 21
37 21
36 21
36 22
37 21
38 21
38 22
39 22
40 22
41 21
42 21
41 21
42 21
42 20
42 21
41 21
41 22
41 21
41 20
40 20
41 20
42 20
42 21
43 21
44 21
43 21
43 20
43 21
42 21
43 21
43 22
44 21
45 21
46 21
47 21
46 21
46 22
47 22
47 21
46 21
45 21
46 21
47 21
47 22
47 21
47 20
47 21
47 20
48 20
48 21
47 21
46 21
47 21
48 21
48 20
47 20
46 20
47 20
48 20
48 21
48 22
49 21
49 22
50 22
51 22
52 22
53 22
54 22
55 21
55 20
55 21
55 22
55 21
55 20
55 21
55 22
55 21
55 22
56 22
56 21
56 22
57 21
57 22
57 21
57 22
57 21
57 22
58 22
58 21
59 21
60 21
60 22
60 21
61 21
62 21
62 22
61 22
60 21
61 21
62 21
62 22
61 22
62 21
62 22
62 21
62 22
62 21
63 21
64 21
64 20
65 20
66 20
67 20
68 20
68 21
68 20
68 21
69 21
70 21
71 21
72 21
73 21
73 20
74 20
75 20
75 21
76 21
77 21
76 21
77 21
77 22
78 21
78 22
79 21
79 22
78 22
78 21
79 21
79 22
79 21
79 22
80 22
81 22
80 21
80 22
81 21
82 21
83 21
84 21
84 22
85 21
85 22
85 21
86 21
86 20
86 19
86 20
85 20
85 21
84 21
83 21
84 21
84 22
84 21
85 21
86 21
87 21
87 22
87 21
88 21
88 22
87 22
87 21
87 22
88 21
88 22
89 22
89 21
90 21
90 22
90 21
89 21
88 21
89 21
90 21
90 22
91 22
92 22
93 21
93 22
94 22
94 21
94 20
94 21
94 22
95 22
95 21
96 21
97 21
97 22
=======
>>>>>>> 0861568e820fb2f1d89487a4eb4b843ff335b8b5
